CNPJ,FIRM_NAME,CVM_FIRM_TYPE,CVM_CODE,CVM_STATUS
24.422.719/0001-89,AGROINDL SERRA DAS VARAS SA,CIAS INCENTIVADAS REGISTRADAS,513997,Cancelado em 14/02/2012
12.627.758/0001-33,AGROINDL STA LUZIA SA,CIAS INCENTIVADAS REGISTRADAS,511927,Cancelado em 14/02/2012
04.071.676/0001-27,AGROINDL SUINORTE SA,CIAS INCENTIVADAS REGISTRADAS,511153,Cancelado em 19/04/1991
12.765.541/0001-90,AGROINDL TRAVESSIA SA,CIAS INCENTIVADAS REGISTRADAS,507903,Cancelado em 14/02/2012
00.922.144/0001-03,AGROINDUSTRIAL DE CEREAIS DONA CAROLINA S/A,CIAS INCENTIVADAS REGISTRADAS,518085,Cancelado em 14/02/2012
00.082.253/0001-51,AGROINDUSTRIAL DE CEREAIS VERDES CAMPOS S.A.,CIAS INCENTIVADAS REGISTRADAS,519715,Concedido em 18/12/2013
02.855.176/0001-50,AGROINDUSTRIAL E PASTORIL NATIVA S.A.,CIAS INCENTIVADAS REGISTRADAS,519847,Cancelado em 12/04/2018
15.282.791/0001-67,AGROINDUSTRIAL PALMASA S/A,CIAS INCENTIVADAS REGISTRADAS,511277,Cancelado em 14/02/2012
15.282.791/0001-67,AGROINDUSTRIAL PALMASA S/A,CIAS INCENTIVADAS REGISTRADAS,519472,Cancelado em 01/02/2013
02.680.715/0001-68,AGROINDUSTRIAL SAPUCAIA S/A,CIAS INCENTIVADAS REGISTRADAS,518859,Cancelado em 09/03/2015
06.846.992/0001-59,AGROINDUSTRIAL SERRA VERMELHA S/A,CIAS INCENTIVADAS REGISTRADAS,504190,Cancelado em 14/02/2012
06.846.992/0001-59,AGROINDUSTRIAL SERRA VERMELHA S/A,CIAS INCENTIVADAS REGISTRADAS,520306,Cancelado em 17/02/2016
22.949.390/0001-83,AGROINDUSTRIAL UNIDOS S/A,CIAS INCENTIVADAS REGISTRADAS,512770,Cancelado em 11/01/2011
06.403.174/0001-81,AGROISA-AGROINDL CAMPO NOVO SA,CIAS INCENTIVADAS REGISTRADAS,501581,Cancelado em 14/02/2012
12.313.151/0001-89,AGROJAISA AGROPEC JATAHY INDL,CIAS INCENTIVADAS REGISTRADAS,514500,Cancelado em 14/09/2011
