Nome;Classe;Código;CNPJ;Nome;Tipo de Ativo;ISIN;Setor Econômico|Bovespa;Subsetor Bovespa;Segmento Bovespa
Altus S/A;ON;ALTS3;92859974000143;Altus S/A;Ação;BRALTSACNOR4;Bens industriais;Serviços diversos;Serviços diversos
Altus S/A;PN Resg;ALTS11;92859974000143;Altus S/A;Ação;BRALTSARNPR9;Bens industriais;Serviços diversos;Serviços diversos
Alupar;ON;ALUP3;8364948000138;Alupar;Ação;BRALUPACNOR8;Utilidade pública;Energia elétrica;Energia elétrica
Alupar;PN;ALUP4;8364948000138;Alupar;Ação;BRALUPACNPR5;Utilidade pública;Energia elétrica;Energia elétrica
Alupar;UNT N2;ALUP11;8364948000138;Alupar;Ação;BRALUPCDAM15;Utilidade pública;Energia elétrica;Energia elétrica
Alvarez & Marsal Investimentos S/A;ON;26433 ON;42233757000175;Alvarez & Marsal Investimentos S/A;Ação;-;-;-;-
Am Inox BR;ON;ACES3;33390170000189;Am Inox BR;Ação;-;-;-;-
Am Inox BR;PN;ACES4;33390170000189;Am Inox BR;Ação;-;-;-;-
Amadeo Rossi;PN;ROSI4;96735105000168;Amadeo Rossi;Ação;-;-;-;-
Amalfi Empreendimentos e Participações S/A;ON;24503 ON;24170211000130;Amalfi Empreendimentos e Participações S/A;Ação;-;-;-;-
Amazone Fun Parks S/A;ON;26930 ON;38543489000110;Amazone Fun Parks S/A;Ação;-;-;-;-
Amazonia;ON;BAZA3;4902979000144;Amazonia;Ação;BRBAZAACNOR0;Financeiro;Intermediários financeiros;Bancos
Amazonia Celular;ON;TMAC3B;2340278000133;Amazonia Celular;Ação;-;-;-;-
Amazonia Celular;PNA;TMAC5B;2340278000133;Amazonia Celular;Ação;-;-;-;-
Amazonia Celular;PNB;TMAC6B;2340278000133;Amazonia Celular;Ação;-;-;-;-
Amazonia Celular;PNC;TMAC7B;2340278000133;Amazonia Celular;Ação;-;-;-;-
Amazonia Celular;PND;TMAC8B;2340278000133;Amazonia Celular;Ação;-;-;-;-
Amazonia Celular;PNE;TMAC11B;2340278000133;Amazonia Celular;Ação;-;-;-;-
Ambev S/A;ON;ABEV3;7526557000100;Ambev S/A;Ação;BRABEVACNOR1;Consumo não cíclico;Bebidas;Cervejas e refrigerantes
Ambev S/A;PN;AMBV4;7526557000100;Ambev S/A;Ação;BRAMBVACNPR1;Consumo não cíclico;Bebidas;Cervejas e refrigerantes
Ambipar;ON;AMBP3;12648266000124;Ambipar;Ação;BRAMBPACNOR6;Utilidade pública;Água e saneamento;Água e saneamento
Amelco;PN;AMLC4;57009078000194;Amelco;Ação;-;-;-;-
America do Sul;PNA;BASU5;61230165000144;America do Sul;Ação;-;-;-;-
Americanas;ON;AMER3;776574000156;Americanas;Ação;BRAMERACNOR6;Consumo cíclico;Comércio;Produtos diversos
Amil;ON;AMIL3;36461242000120;Amil;Ação;BRAMILACNOR0;-;-;-
Ammo Varejo S/A;ON;26476 ON;3494776000101;Ammo Varejo S/A;Ação;-;-;-;-
Ampla Energ;ON;CBEE3;33050071000158;Ampla Energ;Ação;BRCBEEACNOR3;Utilidade pública;Energia elétrica;Energia elétrica
Ampla Invest;ON;AMPI3;7809905000156;Ampla Invest;Ação;BRAMPIACNOR1;-;-;-
